Interaction Between Polymer and NP,Interaction Between NP and NP,Size of the NP,Number Density of NP,Chain Length of Polymer
0.2,0.2,4.0,8.0,25.0
0.2,0.4,3.0,8.0,30.0
0.2,0.6,2.0,8.0,35.0
0.2,0.8,4.0,8.0,40.0
0.2,1.0,3.0,8.0,25.0
0.4,0.2,2.0,8.0,30.0
0.4,0.4,4.0,8.0,35.0
0.4,0.6,3.0,8.0,40.0
0.4,0.8,2.0,8.0,25.0
0.4,1.0,4.0,8.0,30.0
0.6,0.2,3.0,8.0,35.0
0.6,0.4,2.0,8.0,40.0
0.6,0.6,4.0,8.0,25.0
0.6,0.8,3.0,8.0,30.0
0.6,1.0,2.0,8.0,35.0
0.8,0.2,4.0,8.0,40.0
0.8,0.4,3.0,8.0,25.0
0.8,0.6,2.0,8.0,30.0
0.8,0.8,4.0,8.0,35.0
0.8,1.0,3.0,8.0,40.0
1.0,0.2,2.0,8.0,25.0
1.0,0.4,4.0,8.0,30.0
1.0,0.6,3.0,8.0,35.0
1.0,0.8,2.0,8.0,40.0
1.0,1.0,4.0,8.0,25.0
0.1,0.1,5.0,8.0,30.0
1.0,0.1,5.0,8.0,30.0
0.05,0.1,5.0,8.0,30.0
1.5,0.1,5.0,8.0,30.0
0.2,1.5,5.0,8.0,25.0
0.2,2.0,4.0,8.0,30.0
0.4,1.5,2.0,8.0,35.0
0.4,2.0,2.0,8.0,40.0
0.6,1.5,5.0,8.0,25.0
0.6,2.0,4.0,8.0,30.0
0.8,1.5,3.0,8.0,35.0
0.8,2.5,2.0,8.0,40.0
1.0,1.5,5.0,8.0,25.0
1.0,2.5,4.0,8.0,30.0
0.2,0.2,4.0,12.0,25.0
0.2,0.4,3.0,12.0,30.0
0.2,0.6,2.0,12.0,35.0
0.2,0.8,4.0,12.0,40.0
0.2,1.0,3.0,12.0,25.0
0.4,0.2,2.0,12.0,30.0
0.4,0.4,4.0,12.0,35.0
0.4,0.6,3.0,12.0,40.0
0.4,0.8,2.0,12.0,25.0
0.4,1.0,4.0,12.0,30.0
0.6,0.2,3.0,12.0,35.0
0.6,0.4,2.0,12.0,40.0
0.6,0.6,4.0,12.0,25.0
0.6,0.8,3.0,12.0,30.0
0.6,1.0,2.0,12.0,35.0
0.8,0.2,4.0,12.0,40.0
0.8,0.4,3.0,12.0,25.0
0.8,0.6,2.0,12.0,30.0
0.8,0.8,4.0,12.0,35.0
0.8,1.0,3.0,12.0,40.0
1.0,0.2,2.0,12.0,25.0
1.0,0.4,4.0,12.0,30.0
1.0,0.6,3.0,12.0,35.0
1.0,0.8,2.0,12.0,40.0
1.0,1.0,4.0,12.0,25.0
0.1,0.1,5.0,12.0,30.0
1.0,0.1,5.0,12.0,30.0
0.05,0.1,5.0,12.0,30.0
1.5,0.1,5.0,12.0,30.0
0.2,1.5,5.0,12.0,25.0
0.2,2.0,4.0,12.0,30.0
0.4,1.5,2.0,12.0,35.0
0.4,2.0,2.0,12.0,40.0
0.6,1.5,5.0,12.0,25.0
0.6,2.0,4.0,12.0,30.0
0.8,1.5,3.0,12.0,35.0
0.8,2.5,2.0,12.0,40.0
1.0,1.5,5.0,12.0,25.0
1.0,2.5,4.0,12.0,30.0
